ts,wind_speed,wind_direction,pressure_kp,pressure_oo,flow_kp_in,flow_oo_out,flow_oo_in,dp_kp_os,dp_oo_os_8,dp_oo_os_9,dp_kp_oo,dp_kp_oo_by,dp_kp_oo_bz,dp_kp_oo_ca,air_density,gu_pressure_west_wall,gu_pressure_east_wall,gu_pressure_cyl_wall,gu_pressure_west_gap,gu_pressure_east_gap,gu_pressure_vsro,gu_sigma_008,gu_sigma_009,gu_sigma_kp_os
2022-01-12 17:25:00,1.6,310,-33.8,-48.7,13.612694444444443,33.35805555555555,0.0,-33.8,-48.7,-63.5,15.08,15.08,4.99,10.035,1.225,1.8975711351408608,-2.3791659058391805,-1.4903807590716798,1.693939209130621,-2.346749353794374,-2.529189725758259,-1.3075518513288995,1.64055441653342,2.826673668646511
2022-01-13 00:40:00,2.54,303,-35.0,-54.2,13.60008333333333,33.38055555555555,0.0,-35.0,-54.2,-63.2,16.04,16.04,2.325,9.1825,1.225,5.142666111728598,-5.426390515563125,-4.031708426368623,4.731529009068772,-5.366731559993299,-5.768649263108956,-2.320003350868464,4.789089921823291,7.729917748706349
2022-01-13 04:35:00,1.72,246,-31.7,-50.5,13.61063888888889,33.333333333333336,0.0,-31.7,-50.5,-52.7,15.56,15.56,4.17,9.865,1.225,3.0055437370972053,-2.08502058960788,-2.052955668589332,2.7821320523735347,-2.0910050214116804,-2.072267188679761,3.0110174559207414,1.0628059906754157,2.6117870567621555
2022-01-13 08:35:00,1.86,251,-25.4,-52.4,13.61061111111111,33.37638888888889,0.0,-25.4,-52.4,-45.2,15.89,15.89,3.79,9.84,1.225,3.9591740841135326,-2.422529891680431,-2.571806250369191,3.776857526764511,-2.4280784017976598,-2.401050629293839,3.7958675011722414,1.9535123688630938,3.8147053770116814
2022-01-13 14:25:00,3.41,262,-29.2,-39.2,13.61419444444444,33.27777777777778,0.0,-29.2,-39.2,-35.9,14.82,14.82,1.62,8.22,1.225,11.18546116326898,-7.934639833062287,-10.6715661567033,11.11926767762541,-7.807523209312988,-7.913536614082248,8.249034025768875,8.464798564568273,13.64568047785689
2022-01-13 22:20:00,3.99,286,-42.0,-29.6,13.61727777777778,33.32277777777778,0.0,-42.0,-29.6,-39.9,13.76,13.76,2.235,7.9975,1.225,15.63753238879397,-11.39633440066942,-11.50380713138272,13.99197931975899,-11.2440225964353,-11.44532285198423,4.531330830143901,9.898942557903533,17.21077078063093
2022-01-14 06:15:00,4.76,294,-41.2,-36.4,13.6145,33.39027777777778,0.0,-41.2,-36.4,-52.8,12.78,12.78,2.86,7.82,1.225,20.59444912800116,-17.17510447284554,-15.16121168866063,18.42103222513225,-17.00843885726808,-17.50471274434341,0.8089195311507265,14.20976890079984,24.84746216202236
2022-01-14 14:10:00,4.99,268,-110.2,-60.8,13.60466666666667,33.34777777777778,0.0,-110.2,-60.8,-58.3,11.57,11.57,2.985,7.2775,1.225,26.52464989406993,-18.58909962848033,-22.16520514173139,25.12356133069062,-18.46551456278263,-20.16269487990367,7.016926397669338,23.04974925663631,36.77260030570082
2022-01-14 22:05:00,6.72,313,-72.4,-44.0,13.60080555555556,33.35333333333333,0.0,-72.4,-44.0,-84.9,12.6,12.6,3.945,8.2725,1.225,27.62567848349924,-42.27159054036372,-25.87143678851571,24.49518131349203,-41.76550248220267,-44.54009181847909,-25.59238702126806,26.37841926714697,43.57636575636716
2022-01-15 06:00:00,4.67,310,-48.7,-36.7,13.61305555555556,33.36388888888889,0.0,-48.7,-36.7,-58.8,11.42,11.42,3.44,7.43,1.225,16.16560122233341,-20.26835598588129,-12.69670505332748,14.43084016328468,-19.99219608670552,-21.54642414456613,-11.13916701970579,13.97604969325613,24.08072006724409
